 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_WT-SURF4_5_GC.tif:growth cone:1,6.099,2.297,1.565,2,0,10,14.007,2,271
2,MAX_WT-SURF4_5_GC.tif:growth cone background:1,6.099,0.119,0.350,0,0,2,0.724,0,14
