 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_Mut2-BCAP31-biotin_5_GC.tif:growth cone:1,6.306,11.508,7.026,7,4,48,72.569,10,1404
2,MAX_Mut2-BCAP31-biotin_5_GC.tif:growth cone background:1,6.306,7.746,3.710,6,2,25,48.844,7,945
