 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_WT-ERGIC53_5_GC.tif:growth cone:1,5.375,56.308,24.890,41,18,154,302.680,53,5856
2,MAX_WT-ERGIC53_5_GC.tif:growth cone background:1,5.375,16.625,13.112,7,3,105,89.367,14,1729
